,Temp,PH,EC(ÂµS/cm)
0,22.2,8.1,204.5
1,22.2,7.9,199.84
2,21.1,7.3,225.8
3,21.1,7.9,213.56
4,25.6,7.3,263.3
5,25.4,7.5,249.9
6,31.4,7.6,242.8
7,31.4,8.4,221.92
8,25.8,7.6,60.64
9,25.8,7.4,53.52
10,30.3,7.2,20.5
11,30.1,7.7,24.56
12,28.7,6.8,21.1
13,28.6,7.2,15.23
14,30.4,7.9,59.1
15,30.4,7.1,40.4
16,29.0,7.9,121.8
17,29.0,7.2,101.6
18,29.0,7.9,126.84
19,29.0,7.2,104.26
20,25.0,8.1,130.45
21,25.0,7.6,101.7
22,22.0,6.5,125.71
23,22.0,7.8,103.38
24,21.5,8.571250000000001,206.7
25,21.5,8.2,197.76
26,25.8,7.8,242.41
27,25.8,6.9,217.28
28,26.6,7.7,263.3
29,26.4,7.1,249.9
30,32.4,7.2,249.23
31,32.4,8.1,223.09
32,31.9,8.0,141.0
33,31.8,7.8,100.7
34,30.5,7.8,34.42
35,30.9,7.1,31.85
36,30.8,7.8,40.22
37,30.6,7.1,26.44
38,31.2,7.4,2.17
39,31.7,7.5,58.8
40,31.6,7.6,31.7
41,31.7,7.7,2.09
42,30.0,6.5,112.31
43,30.4,6.461249999999998,110.63
44,30.5,8.1,24.28
45,29.7,7.1,130.29
46,29.1,6.8,132.46
47,29.5,8.0,3.28
48,27.8,7.9,157.79
49,27.9,7.2,155.68
50,28.2,7.7,3.86
51,25.6,7.7,200.9
52,25.4,7.6,153.2
53,25.4,7.5,4.02
54,26.0,7.9,335.12
55,26.7,7.8,208.69
56,26.5,7.6,4.53
57,28.8,7.8,179.32
58,28.7,8.0,70.17
59,28.0,7.5,4.18
60,31.3,7.9,171.18
61,31.5,8.2,67.29
62,31.0,7.8,4.38
63,29.0,7.0,208.4
64,30.2,7.1,112.2
65,29.2,6.8,7.68
66,29.6,7.1,215.1
67,29.7,7.3,107.17
68,29.5,6.9,7.9
69,27.4,7.5,196.78
70,27.5,7.5,131.9
71,27.6,7.6,8.1
72,28.8,7.6,23.1
73,28.3,7.9,9.76
74,28.4,7.7,16.28
75,29.0,8.1,13.6
76,29.2,8.571250000000001,12.89
77,29.6,8.4,3.6
78,29.1,7.82,13.99
79,29.4,8.14,1.42
80,29.6,7.68,11.01
81,29.0,7.7,236.0
82,28.7,7.73,231.0
83,28.6,7.63,20.92
84,30.0,7.82,298.0
85,28.7,7.74,280.0
86,28.8,7.88,108.5
87,21.7,7.6,267.0
88,22.9,7.02,267.8
89,22.5,7.49,111.1
90,22.9,7.86,366.3
91,22.5,7.32,316.7
92,22.8,7.55,114.58
93,22.8,7.88,337.56
94,22.9,7.64,311.21
95,22.5,7.96,259.63
96,23.1,7.69,68.1
97,22.0,7.78,255.0
98,22.6,7.58,252.0
99,22.5,7.9,250.0
100,22.0,7.33,35.1
101,21.9,7.72,97.7
102,22.0,7.1,27.8
103,22.4,7.22,7.66
104,21.0,7.01,93.1
105,21.8,7.16,70.42
106,21.9,7.2,5.74
107,21.3,7.73,34.8
108,21.0,7.78,29.8
109,21.0,7.0,5.1
110,21.7,7.79,35.09
111,21.2,7.84,31.6
112,21.0,7.1,6.4
113,22.7,7.76,37.4
114,22.9,7.83,33.4
115,22.5,7.7,37.7
116,22.8,7.64,35.1
117,22.6,7.1,6.28
118,22.4,7.26,80.7
119,22.5,7.42,45.5
120,22.7,7.24,86.1
121,22.6,7.12,6.9
122,22.9,8.17,199.4
123,22.6,8.24,176.5
124,23.5,8.37,213.9
125,22.6,8.11,202.45
126,23.5,8.19,213.8
127,22.7,7.25,300.8
128,22.7,7.58,190.3
129,22.6,7.78,309.0
130,23.0,7.57,122.6
131,22.5,7.0,132.0
132,21.5,6.59,181.4
133,22.5,7.89,40.0
134,22.5,8.19,14.98
135,21.5,8.2,1.51
136,21.5,7.23,17.95
137,21.5,7.32,132.0
138,22.5,7.1,181.4
139,22.0,7.57,41.78
140,22.5,7.22,2.21
141,21.0,7.35,1.9
142,21.5,7.16,1.75
143,22.5,7.42,167.8
144,23.5,7.21,257.9
145,23.0,7.67,43.4
146,23.5,7.32,2.93
147,22.0,7.43,2.57
148,22.5,7.26,1.47
149,20.5,7.21,28.0
150,20.0,7.33,23.0
151,21.0,7.58,6.89
152,20.5,7.35,2.86
153,21.5,7.32,3.28
154,20.0,7.46,5.12
155,22.5,7.4,29.76
156,21.0,7.62,24.67
157,22.0,7.65,7.69
158,21.5,7.29,2.49
159,23.5,7.19,2.98
160,21.0,7.4,4.89
161,24.5,6.55,287.89
162,25.0,7.07,442.4575
163,23.0,7.69,7.65
164,22.5,7.43,2.89
165,24.5,7.39,4.12
166,23.5,7.58,4.39
167,23.0,7.47,181.6
168,26.0,7.38,160.0
169,24.0,7.58,7.65
170,23.5,7.51,2.89
171,25.5,7.52,4.12
172,24.0,7.68,4.39
173,25.0,7.56,181.6
174,26.0,7.46,160.0
175,27.0,7.63,7.65
176,25.5,7.63,2.89
177,26.5,7.49,4.12
178,24.0,7.73,4.39
179,24.5,7.48,184.76
180,24.6,7.32,170.14
181,24.8,7.52,4.14
182,24.0,7.04,101.34
183,23.0,6.97,82.34
184,24.0,7.48,4.59
185,23.5,7.73,2.39
186,24.5,7.52,4.69
187,25.0,7.62,5.24
188,24.0,7.18,233.8
189,23.0,6.76,203.9
190,24.0,7.28,7.45
191,23.5,7.69,5.46
192,24.5,7.67,6.78
193,25.0,7.73,6.79
194,23.0,7.71,38.3
195,24.0,8.18,3.48
196,24.5,7.62,6.32
197,24.5,7.46,4.98
198,25.5,7.72,6.35
199,23.5,7.68,6.99
200,23.5,7.79,42.16
201,23.0,7.89,3.59
202,24.0,7.78,6.78
203,23.5,7.57,5.12
204,22.5,7.72,6.89
205,24.5,7.79,7.48
206,23.0,6.461249999999998,142.0
207,22.3,6.461249999999998,95.7
208,23.0,7.57,4.89
209,22.5,7.42,5.69
210,23.5,7.24,4.98
211,23.5,7.11,6.94
212,22.0,7.44,365.0
213,23.0,7.53,191.1
214,23.5,7.18,5.38
215,23.5,7.21,4.59
216,22.5,7.41,3.58
217,22.5,7.28,5.23
